Date,Sydney,London,Melbourne,Singapore,Stockholm,Paris,Dublin,Manchester,Sao Paulo
"Mar 6, 2024",16.3931839808693,-8.991181960445259,18.841785417772517,15.13052929145831,,29.16224546966173,-4.665254378750125,-11.974982675590566,-6.904104058433166
"Mar 7, 2024",16.505534389625275,-9.616916820437083,18.71104010997237,16.925039351529623,,28.835812506417867,-4.660246624318262,-12.241471566038895,-7.002822037660541
"Mar 8, 2024",16.6098900904534,-9.583219091865839,18.55936874770324,18.969578858323786,,28.48614011036028,-4.549924276682985,-11.188849220620872,-7.070357280307363
"Mar 9, 2024",16.78450017156785,-9.181537681742055,18.470135287792793,21.256116887427858,,28.37552761619266,-4.45796369529787,-10.638152296909677,-7.104494170879755
"Mar 10, 2024",16.91842921676625,-8.731131935298118,18.098400092551007,23.563936866226214,,28.37949093031593,-4.530652009627029,-10.059210006929764,-7.210023116254987
"Mar 11, 2024",16.97998139284792,-8.762250470002012,17.761201393709253,24.932004839970446,,28.73402739370662,-4.538391266476271,-9.446057490723765,-7.265659683101336
"Mar 12, 2024",17.00361176849307,-9.067772804419167,17.441185877805452,25.965049416954887,,29.094688978924175,-4.622309090743546,-8.69395882492259,-6.990513062694532
"Mar 13, 2024",16.88701638207629,-9.707973577840912,17.049460345977437,26.60364175652379,,29.22619894755995,-4.741281196033858,-8.132735677757212,-6.72931661391587
"Mar 15, 2024",16.424243067420857,-10.21949500505466,15.868244116886476,27.4415348702738,,29.060820658234416,-5.396993526339271,-8.56571433583916,-6.521130817324143
"Mar 16, 2024",15.948027323506208,-10.150866020410394,14.076684632450014,27.689556585893417,,28.89616297147675,-5.647532998066703,-9.525881351917965,-6.532290954626656
"Mar 17, 2024",15.390095759621063,-10.154342325188127,11.742578906537094,27.895549797085312,,28.81689668901135,-5.77409261007196,-10.211840247015378,-6.554857408731002
"Mar 18, 2024",14.828414465468875,-10.220672463124536,9.457130510527676,28.102613798198934,,28.335714324317994,-6.041476346706567,-11.404812238489136,-6.666048482590596
"Mar 19, 2024",14.37745633863602,-10.290871391861971,7.990605392457092,28.251185899838312,,27.869484462907884,-5.916737736312896,-12.692871115165657,-6.841984764771386
"Mar 26, 2024",5.269078521474281,-8.067886625365924,2.569736501844215,29.171931383781818,,23.59288837325772,-5.700342044802709,,-7.26582380276755
"Mar 27, 2024",5.269078521474281,-8.067886625365924,2.569736501844215,29.171931383781818,,23.59288837325772,-5.700342044802709,,-7.26582380276755
"Mar 28, 2024",4.571557942176329,-7.652075718403614,2.196044805574837,29.062309265545196,,22.787254702382132,-5.5809146891095,,-7.194103508632284
"Mar 29, 2024",4.388953153134032,-6.598979648478304,2.093115838471275,28.835435650879653,,22.556121428738713,-5.383184264118074,,-6.902298742104818
"Mar 30, 2024",4.296341890500801,-5.988551743394881,2.0272753256298235,28.355855614686952,,22.361919036698488,-5.055859224435413,,-6.993795456018802
"Mar 31, 2024",3.318157538195955,-6.420006021856986,1.1578232820219672,26.744316782490447,,21.069698481870542,-5.128092288361675,,-7.598330246515944
"Apr 1, 2024",3.290282184890002,-6.6268461561320615,0.9824187116355668,24.934547966034543,,20.038155905968573,-5.222177371626974,,-7.49813519029265
"Apr 2, 2024",3.299550386116093,-6.887288667302494,0.8171369074353844,23.094529334289906,,18.9621161215008,-5.1255125360785945,,-7.57724086940752
"Apr 3, 2024",2.9317938214350145,-7.327882263164122,0.3861112245314605,21.519665056912483,,17.87004292989798,-5.2293096279390205,,-7.78559078566546
"Apr 4, 2024",2.628560917198173,-7.883137847259018,-0.032920256420725984,20.19857799098395,,16.791300885800705,-5.275289918631578,,-7.9493001527133496
"Apr 5, 2024",2.2995751484857814,-7.826059165585929,-0.3750527404624828,18.537648973647862,,16.44631240643426,-5.419604296349802,,-8.119820485909097
"Apr 7, 2024",1.474846738619038,-8.675847475445794,-1.2884835245600423,14.13563160543533,,15.3425294231036,-5.85861743487643,,-8.514938582317912
"Apr 8, 2024",1.0582729308387016,-8.437272042715936,-1.7422216324364053,12.320508839370804,,14.62354821101405,-6.078806879744088,,-8.671262564386197
